;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
1;10249;TOMSP;6;1;11,61;Alemania;2,44;14,05
12;10260;OTTIK;4;1;55,09;Alemania;11,57;66,66
19;10267;FRANK;4;1;208,58;Alemania;43,8;252,38
25;10273;QUICK;3;3;76,07;Alemania;15,97;92,04
29;10277;MORGK;2;3;125,77;Alemania;26,41;152,18
31;10279;LEHMS;8;2;25,83;Alemania;5,42;31,25
36;10284;LEHMS;4;1;76,56;Alemania;16,08;92,64
37;10285;QUICK;1;2;76,83;Alemania;16,13;92,96
38;10286;QUICK;8;3;229,24;Alemania;48,14;277,38
53;10301;WANDK;8;2;45,08;Alemania;9,47;54,55
64;10312;WANDK;2;2;40,26;Alemania;8,45;48,71
65;10313;QUICK;2;2;1,96;Alemania;0,41;2,37
75;10323;KOENE;4;1;4,88;Alemania;1,02;5,9
77;10325;KOENE;1;3;64,86;Alemania;13,62;78,48
89;10337;FRANK;4;3;108,26;Alemania;22,73;130,99
94;10342;FRANK;4;2;54,83;Alemania;11,51;66,34
95;10343;LEHMS;4;1;110,37;Alemania;23,18;133,55
97;10345;QUICK;2;2;249,06;Alemania;52,3;301,36
100;10348;WANDK;4;2;0,78;Alemania;0,16;0,94
108;10356;WANDK;6;2;36,71;Alemania;7,71;44,42
113;10361;QUICK;1;2;183,17;Alemania;38,47;221,64
115;10363;DRACD;4;3;30,54;Alemania;6,41;36,95
143;10391;DRACD;3;3;5,45;Alemania;1,14;6,59
148;10396;FRANK;1;3;135,35;Alemania;28,42;163,77
159;10407;OTTIK;2;2;91,48;Alemania;19,21;110,69
170;10418;QUICK;4;1;17,55;Alemania;3,69;21,24
190;10438;TOMSP;3;2;8,24;Alemania;1,73;9,97
198;10446;TOMSP;6;1;14,68;Alemania;3,08;17,76
203;10451;QUICK;4;3;189,09;Alemania;39,71;228,8
208;10456;KOENE;8;2;8,12;Alemania;1,71;9,83
209;10457;KOENE;2;1;11,57;Alemania;2,43;14,0
220;10468;KOENE;3;3;44,12;Alemania;9,27;53,39
240;10488;FRANK;8;2;4,93;Alemania;1,04;5,97
249;10497;LEHMS;7;1;36,21;Alemania;7,6;43,81
253;10501;BLAUS;9;3;8,85;Alemania;1,86;10,71
258;10506;KOENE;9;2;21,19;Alemania;4,45;25,64
260;10508;OTTIK;1;2;4,99;Alemania;1,05;6,04
261;10509;BLAUS;4;1;0,15;Alemania;0,03;0,18
265;10513;WANDK;7;1;105,65;Alemania;22,19;127,84
267;10515;QUICK;2;1;204,47;Alemania;42,94;247,41
274;10522;LEHMS;4;1;45,33;Alemania;9,52;54,85
