;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
161;10409;OCEAN;3;1;29,83;Argentina;6,26;36,09
200;10448;RANCH;4;2;38,82;Argentina;8,15;46,97
273;10521;CACTU;8;2;17,22;Argentina;3,62;20,84
283;10531;OCEAN;7;1;8,12;Argentina;1,71;9,83
468;10716;RANCH;4;2;22,57;Argentina;4,74;27,31
534;10782;CACTU;9;3;1,1;Argentina;0,23;1,33
571;10819;CACTU;2;3;19,76;Argentina;4,15;23,91
580;10828;RANCH;9;1;90,85;Argentina;19,08;109,93
633;10881;CACTU;4;1;2,84;Argentina;0,6;3,44
650;10898;OCEAN;4;2;1,27;Argentina;0,27;1,54
668;10916;RANCH;1;2;63,77;Argentina;13,39;77,16
689;10937;CACTU;7;3;31,51;Argentina;6,62;38,13
710;10958;OCEAN;7;2;49,56;Argentina;10,41;59,97
738;10986;OCEAN;8;2;217,86;Argentina;45,75;263,61
771;11019;RANCH;6;3;3,17;Argentina;0,67;3,84
806;11054;CACTU;8;1;0,33;Argentina;0,07;0,4
