;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
10;10258;ERNSH;1;1;140,51;Austria;29,51;170,02
15;10263;ERNSH;9;3;146,06;Austria;30,67;176,73
103;10351;ERNSH;1;1;162,33;Austria;34,09;196,42
105;10353;PICCO;7;3;360,63;Austria;75,73;436,36
120;10368;ERNSH;2;2;101,95;Austria;21,41;123,36
134;10382;ERNSH;4;1;94,77;Austria;19,9;114,67
142;10390;ERNSH;6;1;126,38;Austria;26,54;152,92
144;10392;PICCO;2;3;122,46;Austria;25,72;148,18
154;10402;ERNSH;8;2;67,88;Austria;14,25;82,13
155;10403;ERNSH;4;3;73,79;Austria;15,5;89,29
179;10427;PICCO;4;2;31,29;Austria;6,57;37,86
182;10430;ERNSH;4;1;458,78;Austria;96,34;555,12
194;10442;ERNSH;3;2;47,94;Austria;10,07;58,01
241;10489;PICCO;6;2;5,29;Austria;1,11;6,4
266;10514;ERNSH;3;2;789,95;Austria;165,89;955,84
282;10530;PICCO;3;2;339,22;Austria;71,24;410,46
323;10571;ERNSH;8;3;26,06;Austria;5,47;31,53
347;10595;ERNSH;2;1;96,78;Austria;20,32;117,1
349;10597;PICCO;7;3;35,12;Austria;7,38;42,5
385;10633;ERNSH;7;3;477,9;Austria;100,36;578,26
419;10667;ERNSH;7;1;78,09;Austria;16,4;94,49
438;10686;PICCO;2;1;96,5;Austria;20,26;116,76
450;10698;ERNSH;4;1;272,47;Austria;57,22;329,69
499;10747;PICCO;6;1;117,33;Austria;24,64;141,97
516;10764;ERNSH;6;3;145,45;Austria;30,54;175,99
523;10771;ERNSH;9;2;11,19;Austria;2,35;13,54
525;10773;ERNSH;1;3;96,43;Austria;20,25;116,68
528;10776;ERNSH;1;3;351,53;Austria;73,82;425,35
547;10795;ERNSH;8;2;126,66;Austria;26,6;153,26
588;10836;ERNSH;7;1;411,88;Austria;86,49;498,37
596;10844;PICCO;8;2;25,22;Austria;5,3;30,52
606;10854;ERNSH;3;2;100,22;Austria;21,05;121,27
647;10895;ERNSH;3;1;162,75;Austria;34,18;196,93
720;10968;ERNSH;1;3;74,6;Austria;15,67;90,27
731;10979;ERNSH;8;2;353,07;Austria;74,14;427,21
742;10990;ERNSH;2;3;117,61;Austria;24,7;142,31
760;11008;ERNSH;7;3;79,46;Austria;16,69;96,15
769;11017;ERNSH;9;2;754,26;Austria;158,39;912,65
805;11053;PICCO;2;2;53,05;Austria;11,14;64,19
824;11072;ERNSH;4;2;258,64;Austria;54,31;312,95
