;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
4;10252;SUPRD;4;2;51,3;Belgica;10,77;62,07
54;10302;SUPRD;4;2;6,27;Belgica;1,32;7,59
210;10458;SUPRD;7;3;147,06;Belgica;30,88;177,94
215;10463;SUPRD;5;3;14,78;Belgica;3,1;17,88
227;10475;SUPRD;9;1;68,52;Belgica;14,39;82,91
281;10529;MAISD;5;2;66,69;Belgica;14,0;80,69
401;10649;MAISD;5;3;6,2;Belgica;1,3;7,5
512;10760;MAISD;4;1;155,64;Belgica;32,68;188,32
519;10767;SUPRD;4;3;1,59;Belgica;0,33;1,92
593;10841;SUPRD;5;2;424,3;Belgica;89,1;513,4
598;10846;SUPRD;2;3;56,46;Belgica;11,86;68,32
637;10885;SUPRD;6;3;5,64;Belgica;1,18;6,82
644;10892;MAISD;4;2;120,27;Belgica;25,26;145,53
648;10896;MAISD;7;3;32,45;Belgica;6,81;39,26
682;10930;SUPRD;4;3;15,55;Belgica;3,27;18,82
730;10978;MAISD;9;2;32,82;Belgica;6,89;39,71
756;11004;MAISD;3;1;44,84;Belgica;9,42;54,26
787;11035;SUPRD;2;2;0,17;Belgica;0,04;0,21
790;11038;SUPRD;1;2;29,59;Belgica;6,21;35,8
