;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
2;10250;HANAR;4;2;65,83;Brasil;13,82;79,65
5;10253;HANAR;3;2;58,17;Brasil;12,22;70,39
8;10256;WELLI;3;2;13,97;Brasil;2,93;16,9
13;10261;QUEDE;4;2;3,05;Brasil;0,64;3,69
39;10287;RICAR;8;3;12,76;Brasil;2,68;15,44
42;10290;COMMI;8;1;79,7;Brasil;16,74;96,44
43;10291;QUEDE;6;2;6,4;Brasil;1,34;7,74
44;10292;TRADH;1;2;1,35;Brasil;0,28;1,63
51;10299;RICAR;4;2;29,76;Brasil;6,25;36,01
99;10347;FAMIA;4;3;3,1;Brasil;0,65;3,75
124;10372;QUEEN;5;2;890,78;Brasil;187,06;1077,84
131;10379;QUEDE;2;1;45,03;Brasil;9,46;54,49
138;10386;FAMIA;9;3;13,99;Brasil;2,94;16,93
158;10406;QUEEN;7;1;108,04;Brasil;22,69;130,73
166;10414;FAMIA;2;3;21,48;Brasil;4,51;25,99
172;10420;WELLI;3;1;44,12;Brasil;9,27;53,39
173;10421;QUEDE;8;1;99,23;Brasil;20,84;120,07
175;10423;GOURL;6;3;24,5;Brasil;5,14;29,64
199;10447;RICAR;4;2;68,66;Brasil;14,42;83,08
218;10466;COMMI;4;1;11,93;Brasil;2,51;14,44
233;10481;RICAR;8;2;64,33;Brasil;13,51;77,84
239;10487;QUEEN;2;2;71,07;Brasil;14,92;85,99
246;10494;COMMI;4;2;65,99;Brasil;13,86;79,85
248;10496;TRADH;7;2;46,77;Brasil;9,82;56,59
264;10512;FAMIA;7;2;3,53;Brasil;0,74;4,27
293;10541;HANAR;2;1;68,65;Brasil;14,42;83,07
315;10563;RICAR;2;2;60,43;Brasil;12,69;73,12
333;10581;FAMIA;3;1;3,01;Brasil;0,63;3,64
337;10585;WELLI;7;1;13,41;Brasil;2,82;16,23
339;10587;QUEDE;1;1;62,52;Brasil;13,13;75,65
358;10606;TRADH;4;3;79,4;Brasil;16,67;96,07
374;10622;RICAR;4;3;50,97;Brasil;10,7;61,67
389;10637;QUEEN;6;1;201,29;Brasil;42,27;243,56
396;10644;WELLI;3;2;0,14;Brasil;0,03;0,17
397;10645;HANAR;4;1;12,41;Brasil;2,61;15,02
399;10647;QUEDE;4;2;45,54;Brasil;9,56;55,1
400;10648;RICAR;5;2;14,25;Brasil;2,99;17,24
402;10650;FAMIA;5;3;176,81;Brasil;37,13;213,94
404;10652;GOURL;4;2;7,14;Brasil;1,5;8,64
411;10659;QUEEN;7;2;105,81;Brasil;22,22;128,03
437;10685;GOURL;4;2;33,75;Brasil;7,09;40,84
442;10690;HANAR;1;1;15,8;Brasil;3,32;19,12
456;10704;QUEEN;6;1;4,78;Brasil;1,0;5,78
461;10709;GOURL;1;3;210,8;Brasil;44,27;255,07
472;10720;QUEDE;8;2;9,53;Brasil;2,0;11,53
477;10725;FAMIA;4;3;10,83;Brasil;2,27;13,1
480;10728;QUEEN;4;2;58,33;Brasil;12,25;70,58
486;10734;GOURL;2;3;1,63;Brasil;0,34;1,97
522;10770;HANAR;8;3;5,32;Brasil;1,12;6,44
529;10777;GOURL;7;2;3,01;Brasil;0,63;3,64
535;10783;HANAR;4;2;124,98;Brasil;26,25;151,23
538;10786;QUEEN;8;1;110,87;Brasil;23,28;134,15
542;10790;GOURL;6;1;28,23;Brasil;5,93;34,16
546;10794;QUEDE;6;1;21,49;Brasil;4,51;26,0
555;10803;WELLI;4;1;55,23;Brasil;11,6;66,83
561;10809;WELLI;7;1;4,87;Brasil;1,02;5,89
565;10813;RICAR;1;1;47,38;Brasil;9,95;57,33
582;10830;TRADH;4;2;81,83;Brasil;17,18;99,01
586;10834;TRADH;1;3;29,78;Brasil;6,25;36,03
591;10839;TRADH;3;3;35,43;Brasil;7,44;42,87
603;10851;RICAR;5;1;160,55;Brasil;33,72;194,27
620;10868;QUEEN;7;2;191,27;Brasil;40,17;231,44
629;10877;RICAR;1;1;38,06;Brasil;7,99;46,05
638;10886;HANAR;1;1;4,99;Brasil;1,05;6,04
652;10900;WELLI;1;2;1,66;Brasil;0,35;2,01
655;10903;HANAR;3;3;36,71;Brasil;7,71;44,42
657;10905;WELLI;9;2;13,72;Brasil;2,88;16,6
665;10913;QUEEN;4;1;33,05;Brasil;6,94;39,99
666;10914;QUEEN;6;1;21,19;Brasil;4,45;25,64
674;10922;HANAR;5;3;62,74;Brasil;13,18;75,92
677;10925;HANAR;3;1;2,27;Brasil;0,48;2,75
687;10935;WELLI;4;3;47,59;Brasil;9,99;57,58
711;10959;GOURL;6;2;4,98;Brasil;1,05;6,03
713;10961;QUEEN;8;1;104,47;Brasil;21,94;126,41
721;10969;COMMI;1;2;0,21;Brasil;0,04;0,25
733;10981;HANAR;1;2;193,37;Brasil;40,61;233,98
741;10989;QUEDE;2;1;34,76;Brasil;7,3;42,06
774;11022;HANAR;9;2;6,27;Brasil;1,32;7,59
794;11042;COMMI;2;1;29,99;Brasil;6,3;36,29
801;11049;GOURL;3;1;8,34;Brasil;1,75;10,09
804;11052;HANAR;3;1;67,26;Brasil;14,12;81,38
811;11059;RICAR;2;2;85,8;Brasil;18,02;103,82
820;11068;QUEEN;8;2;81,75;Brasil;17,17;98,92
