;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
84;10332;MEREP;3;2;52,84;Canada;11,1;63,94
91;10339;MEREP;2;2;15,66;Canada;3,29;18,95
128;10376;MEREP;1;2;20,39;Canada;4,28;24,67
141;10389;BOTTM;4;2;47,42;Canada;9,96;57,38
162;10410;BOTTM;3;3;2,4;Canada;0,5;2,9
163;10411;BOTTM;9;3;23,65;Canada;4,97;28,62
176;10424;MEREP;7;2;370,61;Canada;77,83;448,44
183;10431;BOTTM;4;2;44,17;Canada;9,28;53,45
191;10439;MEREP;6;3;4,07;Canada;0,85;4,92
244;10492;BOTTM;3;1;62,89;Canada;13,21;76,1
247;10495;LAUGB;3;3;4,65;Canada;0,98;5,63
257;10505;MEREP;3;3;7,13;Canada;1,5;8,63
317;10565;MEREP;8;2;7,15;Canada;1,5;8,65
322;10570;MEREP;3;3;188,99;Canada;39,69;228,68
342;10590;MEREP;4;3;44,77;Canada;9,4;54,17
357;10605;MEREP;1;2;379,13;Canada;79,62;458,75
370;10618;MEREP;1;1;154,68;Canada;32,48;187,16
371;10619;MEREP;3;3;91,05;Canada;19,12;110,17
372;10620;LAUGB;2;3;0,94;Canada;0,2;1,14
476;10724;MEREP;8;2;57,75;Canada;12,13;69,88
494;10742;BOTTM;3;3;243,73;Canada;51,18;294,91
562;10810;LAUGB;2;3;4,33;Canada;0,91;5,24
670;10918;BOTTM;3;3;48,83;Canada;10,25;59,08
696;10944;BOTTM;6;3;52,92;Canada;11,11;64,03
701;10949;BOTTM;2;3;74,44;Canada;15,63;90,07
727;10975;BOTTM;1;3;32,27;Canada;6,78;39,05
734;10982;BOTTM;2;1;14,01;Canada;2,94;16,95
779;11027;BOTTM;1;1;52,52;Canada;11,03;63,55
797;11045;BOTTM;6;2;70,58;Canada;14,82;85,4
800;11048;BOTTM;7;3;24,12;Canada;5,07;29,19
