;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
93;10341;SIMOB;7;3;26,78;Dinamarca;5,62;32,4
119;10367;VAFFE;7;3;13,55;Dinamarca;2,85;16,4
151;10399;VAFFE;8;3;27,36;Dinamarca;5,75;33,11
169;10417;SIMOB;4;3;70,29;Dinamarca;14,76;85,05
217;10465;VAFFE;1;3;145,04;Dinamarca;30,46;175,5
308;10556;SIMOB;2;1;9,8;Dinamarca;2,06;11,86
343;10591;VAFFE;1;1;55,92;Dinamarca;11,74;67,66
354;10602;VAFFE;8;2;2,92;Dinamarca;0,61;3,53
394;10642;SIMOB;7;3;41,89;Dinamarca;8,8;50,69
421;10669;SIMOB;2;1;24,39;Dinamarca;5,12;29,51
440;10688;VAFFE;4;2;299,09;Dinamarca;62,81;361,9
496;10744;VAFFE;6;1;69,19;Dinamarca;14,53;83,72
521;10769;VAFFE;3;1;65,06;Dinamarca;13,66;78,72
554;10802;SIMOB;4;2;257,26;Dinamarca;54,02;311,28
673;10921;VAFFE;1;1;176,48;Dinamarca;37,06;213,54
698;10946;VAFFE;1;2;27,2;Dinamarca;5,71;32,91
746;10994;VAFFE;2;3;65,53;Dinamarca;13,76;79,29
826;11074;SIMOB;7;2;18,44;Dinamarca;3,87;22,31
