;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
33;10281;ROMEY;4;1;2,94;Espanya;0,62;3,56
34;10282;ROMEY;4;1;12,69;Espanya;2,66;15,35
55;10303;GODOS;7;2;107,83;Espanya;22,64;130,47
58;10306;ROMEY;1;3;7,56;Espanya;1,59;9,15
78;10326;BOLID;4;2;77,92;Espanya;16,36;94,28
118;10366;GALED;8;2;10,14;Espanya;2,13;12,27
178;10426;GALED;4;1;18,69;Espanya;3,92;22,61
302;10550;GODOS;7;3;4,32;Espanya;0,91;5,23
320;10568;GALED;3;3;6,54;Espanya;1,37;7,91
381;10629;GODOS;4;3;85,46;Espanya;17,95;103,41
553;10801;BOLID;4;2;97,09;Espanya;20,39;117,48
624;10872;GODOS;5;2;175,32;Espanya;36,82;212,14
626;10874;GODOS;5;2;19,58;Espanya;4,11;23,69
639;10887;GALED;8;3;1,25;Espanya;0,26;1,51
640;10888;GODOS;1;2;51,87;Espanya;10,89;62,76
663;10911;GODOS;3;1;38,19;Espanya;8,02;46,21
669;10917;ROMEY;4;2;8,29;Espanya;1,74;10,03
680;10928;GALED;1;1;1,36;Espanya;0,29;1,65
700;10948;GODOS;3;3;23,39;Espanya;4,91;28,3
722;10970;BOLID;9;1;16,16;Espanya;3,39;19,55
761;11009;GODOS;2;1;59,11;Espanya;12,41;71,52
765;11013;ROMEY;2;1;32,99;Espanya;6,93;39,92
789;11037;GODOS;7;1;3,2;Espanya;0,67;3,87
