;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
14;10262;RATTC;8;3;48,29;Estados Unidos;10,14;58,43
21;10269;WHITC;5;1;4,56;Estados Unidos;0,96;5,52
23;10271;SPLIR;6;2;4,54;Estados Unidos;0,95;5,49
24;10272;RATTC;6;2;98,03;Estados Unidos;20,59;118,62
46;10294;RATTC;4;2;147,26;Estados Unidos;30,92;178,18
57;10305;OLDWO;8;3;257,62;Estados Unidos;54,1;311,72
59;10307;LONEP;2;2;0,56;Estados Unidos;0,12;0,68
62;10310;THEBI;8;2;17,52;Estados Unidos;3,68;21,2
66;10314;RATTC;1;2;74,16;Estados Unidos;15,57;89,73
68;10316;RATTC;1;3;150,15;Estados Unidos;31,53;181,68
69;10317;LONEP;6;1;12,69;Estados Unidos;2,66;15,35
76;10324;SAVEA;9;1;214,27;Estados Unidos;45,0;259,27
81;10329;SPLIR;4;2;191,67;Estados Unidos;40,25;231,92
90;10338;OLDWO;4;3;84,21;Estados Unidos;17,68;101,89
96;10344;WHITC;4;2;23,29;Estados Unidos;4,89;28,18
98;10346;RATTC;3;3;142,08;Estados Unidos;29,84;171,92
101;10349;SPLIR;7;1;8,63;Estados Unidos;1,81;10,44
121;10369;SPLIR;8;2;195,68;Estados Unidos;41,09;236,77
127;10375;HUNGC;3;2;20,12;Estados Unidos;4,23;24,35
137;10385;SPLIR;1;2;30,96;Estados Unidos;6,5;37,46
145;10393;SAVEA;1;3;126,56;Estados Unidos;26,58;153,14
146;10394;HUNGC;1;3;30,34;Estados Unidos;6,37;36,71
150;10398;SAVEA;2;3;89,16;Estados Unidos;18,72;107,88
153;10401;RATTC;1;1;12,51;Estados Unidos;2,63;15,14
167;10415;HUNGC;3;1;0,2;Estados Unidos;0,04;0,24
184;10432;SPLIR;3;2;4,34;Estados Unidos;0,91;5,25
192;10440;SAVEA;4;2;86,53;Estados Unidos;18,17;104,7
193;10441;OLDWO;3;2;73,02;Estados Unidos;15,33;88,35
204;10452;SAVEA;8;1;140,26;Estados Unidos;29,45;169,71
221;10469;WHITC;1;1;60,18;Estados Unidos;12,64;72,82
231;10479;RATTC;3;3;708,95;Estados Unidos;148,88;857,83
234;10482;LAZYK;1;3;7,48;Estados Unidos;1,57;9,05
235;10483;WHITC;7;2;15,28;Estados Unidos;3,21;18,49
256;10504;WHITC;4;3;59,13;Estados Unidos;12,42;71,55
262;10510;SAVEA;6;3;367,63;Estados Unidos;77,2;444,83
280;10528;GREAL;6;2;3,35;Estados Unidos;0,7;4,05
296;10544;LONEP;4;1;24,91;Estados Unidos;5,23;30,14
297;10545;LAZYK;8;2;11,92;Estados Unidos;2,5;14,42
307;10555;SAVEA;6;3;252,49;Estados Unidos;53,02;305,51
316;10564;RATTC;4;3;13,75;Estados Unidos;2,89;16,64
321;10569;RATTC;5;1;58,98;Estados Unidos;12,39;71,37
326;10574;TRAIH;4;2;37,6;Estados Unidos;7,9;45,5
329;10577;TRAIH;9;2;25,41;Estados Unidos;5,34;30,75
331;10579;LETSS;1;2;13,73;Estados Unidos;2,88;16,61
341;10589;GREAL;8;2;4,42;Estados Unidos;0,93;5,35
346;10594;OLDWO;3;2;5,24;Estados Unidos;1,1;6,34
348;10596;WHITC;8;1;16,34;Estados Unidos;3,43;19,77
350;10598;RATTC;1;3;44,42;Estados Unidos;9,33;53,75
352;10600;HUNGC;4;1;45,13;Estados Unidos;9,48;54,61
355;10603;SAVEA;8;2;48,77;Estados Unidos;10,24;59,01
359;10607;SAVEA;5;1;200,24;Estados Unidos;42,05;242,29
364;10612;SAVEA;1;2;544,08;Estados Unidos;114,26;658,34
368;10616;GREAL;1;2;116,53;Estados Unidos;24,47;141,0
369;10617;GREAL;4;2;18,53;Estados Unidos;3,89;22,42
376;10624;THECR;4;2;94,8;Estados Unidos;19,91;114,71
379;10627;SAVEA;8;3;107,46;Estados Unidos;22,57;130,03
408;10656;GREAL;6;1;57,15;Estados Unidos;12,0;69,15
409;10657;SAVEA;2;2;352,69;Estados Unidos;74,06;426,75
412;10660;HUNGC;8;1;111,29;Estados Unidos;23,37;134,66
414;10662;LONEP;3;2;1,28;Estados Unidos;0,27;1,55
417;10665;LONEP;1;2;26,31;Estados Unidos;5,53;31,84
430;10678;SAVEA;7;3;388,98;Estados Unidos;81,69;470,67
432;10680;OLDWO;1;1;26,61;Estados Unidos;5,59;32,2
433;10681;GREAL;3;3;76,13;Estados Unidos;15,99;92,12
445;10693;WHITC;3;3;139,34;Estados Unidos;29,26;168,6
448;10696;WHITC;8;3;102,55;Estados Unidos;21,54;124,09
452;10700;SAVEA;3;1;65,1;Estados Unidos;13,67;78,77
458;10706;OLDWO;8;3;135,63;Estados Unidos;28,48;164,11
460;10708;THEBI;6;2;2,96;Estados Unidos;0,62;3,58
463;10711;SAVEA;5;2;52,41;Estados Unidos;11,01;63,42
465;10713;SAVEA;1;1;167,05;Estados Unidos;35,08;202,13
466;10714;SAVEA;5;3;24,49;Estados Unidos;5,14;29,63
471;10719;LETSS;8;2;51,44;Estados Unidos;10,8;62,24
474;10722;SAVEA;8;1;74,58;Estados Unidos;15,66;90,24
475;10723;WHITC;3;1;21,72;Estados Unidos;4,56;26,28
487;10735;LETSS;6;2;45,97;Estados Unidos;9,65;55,62
492;10740;WHITC;4;2;81,88;Estados Unidos;17,19;99,07
