;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
0;10248;WILMK;5;3;32,38;Finlandia;6,8;39,18
18;10266;WARTH;3;3;25,73;Finlandia;5,4;31,13
22;10270;WARTH;1;1;136,54;Finlandia;28,67;165,21
72;10320;WARTH;5;3;34,57;Finlandia;7,26;41,83
85;10333;WARTH;5;3;0,59;Finlandia;0,12;0,71
164;10412;WARTH;8;2;3,77;Finlandia;0,79;4,56
168;10416;WARTH;8;3;22,72;Finlandia;4,77;27,49
189;10437;WARTH;8;1;19,97;Finlandia;4,19;24,16
207;10455;WARTH;8;2;180,45;Finlandia;37,89;218,34
278;10526;WARTH;4;2;58,59;Finlandia;12,3;70,89
305;10553;WARTH;2;2;149,49;Finlandia;31,39;180,88
335;10583;WARTH;2;2;7,28;Finlandia;1,53;8,81
367;10615;WILMK;2;3;0,75;Finlandia;0,16;0,91
388;10636;WARTH;4;1;1,15;Finlandia;0,24;1,39
425;10673;WILMK;2;1;22,76;Finlandia;4,78;27,54
447;10695;WILMK;7;1;16,72;Finlandia;3,51;20,23
502;10750;WARTH;9;1;79,3;Finlandia;16,65;95,95
533;10781;WARTH;2;3;73,16;Finlandia;15,36;88,52
625;10873;WILMK;4;1;0,82;Finlandia;0,17;0,99
631;10879;WILMK;3;3;8,5;Finlandia;1,78;10,28
662;10910;WILMK;1;3;38,11;Finlandia;8,0;46,11
757;11005;WILMK;2;1;0,75;Finlandia;0,16;0,91
777;11025;WARTH;6;3;29,17;Finlandia;6,13;35,3
