;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
3;10251;VICTE;3;1;41,34;Francia;8,68;50,02
17;10265;BLONP;2;1;55,28;Francia;11,61;66,89
26;10274;VINET;6;1;6,01;Francia;1,26;7,27
47;10295;VINET;2;2;1,15;Francia;0,24;1,39
49;10297;BLONP;5;2;5,74;Francia;1,21;6,95
63;10311;DUMON;1;3;24,69;Francia;5,18;29,87
83;10331;BONAP;9;1;10,19;Francia;2,14;12,33
86;10334;VICTE;8;2;8,56;Francia;1,8;10,36
92;10340;BONAP;1;3;166,31;Francia;34,93;201,24
102;10350;LAMAI;6;2;64,19;Francia;13,48;77,67
110;10358;LAMAI;5;1;19,64;Francia;4,12;23,76
112;10360;BLONP;4;3;131,7;Francia;27,66;159,36
114;10362;BONAP;3;1;96,04;Francia;20,17;116,21
123;10371;LAMAI;1;1;0,45;Francia;0,09;0,54
160;10408;FOLIG;8;1;11,26;Francia;2,36;13,62
165;10413;LAMAI;3;2;95,66;Francia;20,09;115,75
177;10425;LAMAI;6;2;7,93;Francia;1,67;9,6
188;10436;BLONP;3;2;156,66;Francia;32,9;189,56
201;10449;BLONP;3;2;53,3;Francia;11,19;64,49
202;10450;VICTE;8;2;7,23;Francia;1,52;8,75
206;10454;LAMAI;4;3;2,74;Francia;0,58;3,32
211;10459;VICTE;4;2;25,09;Francia;5,27;30,36
222;10470;BONAP;4;2;64,56;Francia;13,56;78,12
230;10478;VICTE;2;3;4,81;Francia;1,01;5,82
232;10480;FOLIG;6;2;1,35;Francia;0,28;1,63
245;10493;LAMAI;4;3;10,64;Francia;2,23;12,87
252;10500;LAMAI;6;1;42,68;Francia;8,96;51,64
263;10511;BONAP;4;3;350,64;Francia;73,63;424,27
277;10525;BONAP;1;2;11,06;Francia;2,32;13,38
298;10546;VICTE;1;3;194,72;Francia;40,89;235,61
311;10559;BLONP;6;1;8,05;Francia;1,69;9,74
318;10566;BLONP;9;1;88,4;Francia;18,56;106,96
336;10584;BLONP;4;1;59,14;Francia;12,42;71,56
361;10609;DUMON;7;2;1,85;Francia;0,39;2,24
362;10610;LAMAI;8;1;26,78;Francia;5,62;32,4
380;10628;BLONP;4;3;30,36;Francia;6,38;36,74
383;10631;LAMAI;8;1;0,87;Francia;0,18;1,05
386;10634;FOLIG;4;3;487,38;Francia;102,35;589,73
415;10663;BONAP;2;2;113,15;Francia;23,76;136,91
423;10671;FRANR;1;1;30,34;Francia;6,37;36,71
431;10679;BLONP;8;3;27,94;Francia;5,87;33,81
435;10683;DUMON;2;1;4,4;Francia;0,92;5,32
467;10715;BONAP;3;1;63,2;Francia;13,27;76,47
482;10730;BONAP;5;1;20,12;Francia;4,23;24,35
484;10732;BONAP;3;1;16,97;Francia;3,56;20,53
489;10737;VINET;2;2;7,79;Francia;1,64;9,43
490;10738;SPECD;2;1;2,91;Francia;0,61;3,52
491;10739;VINET;3;3;11,08;Francia;2,33;13,41
507;10755;BONAP;4;2;16,71;Francia;3,51;20,22
515;10763;FOLIG;3;3;37,35;Francia;7,84;45,19
539;10787;LAMAI;2;1;249,93;Francia;52,49;302,42
541;10789;FOLIG;1;2;100,6;Francia;21,13;121,73
558;10806;VICTE;3;2;22,11;Francia;4,64;26,75
566;10814;VICTE;3;3;130,94;Francia;27,5;158,44
578;10826;BLONP;6;1;7,09;Francia;1,49;8,58
579;10827;BONAP;1;2;63,54;Francia;13,34;76,88
584;10832;LAMAI;2;2;43,26;Francia;9,08;52,34
595;10843;VICTE;4;2;9,26;Francia;1,94;11,2
602;10850;VICTE;1;1;49,19;Francia;10,33;59,52
610;10858;LACOR;2;1;52,51;Francia;11,03;63,54
612;10860;FRANR;3;3;19,26;Francia;4,04;23,3
623;10871;BONAP;9;2;112,27;Francia;23,58;135,85
628;10876;BONAP;7;3;60,42;Francia;12,69;73,11
642;10890;DUMON;7;1;32,76;Francia;6,88;39,64
659;10907;SPECD;6;3;9,19;Francia;1,93;11,12
675;10923;LAMAI;7;3;68,26;Francia;14,33;82,59
679;10927;LACOR;4;1;19,79;Francia;4,16;23,95
684;10932;BONAP;8;1;134,64;Francia;28,27;162,91
692;10940;BONAP;8;3;19,77;Francia;4,15;23,92
716;10964;SPECD;3;2;87,38;Francia;18,35;105,73
723;10971;FRANR;2;2;121,82;Francia;25,58;147,4
724;10972;LACOR;4;2;0,02;Francia;0,0;0,02
725;10973;LACOR;6;2;15,17;Francia;3,19;18,36
795;11043;SPECD;5;2;8,8;Francia;1,85;10,65
803;11051;LAMAI;7;3;2,79;Francia;0,59;3,38
828;11076;BONAP;4;2;38,28;Francia;8,04;46,32
