;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
50;10298;HUNGO;6;2;168,22;Irlanda;35,33;203,55
61;10309;HUNGO;3;1;47,3;Irlanda;9,93;57,23
87;10335;HUNGO;7;2;42,11;Irlanda;8,84;50,95
125;10373;HUNGO;4;3;124,12;Irlanda;26,07;150,19
132;10380;HUNGO;8;3;35,03;Irlanda;7,36;42,39
181;10429;HUNGO;3;2;56,63;Irlanda;11,89;68,52
255;10503;HUNGO;6;2;16,74;Irlanda;3,52;20,26
268;10516;HUNGO;2;3;62,78;Irlanda;13,18;75,96
319;10567;HUNGO;1;1;33,97;Irlanda;7,13;41,1
398;10646;HUNGO;9;3;142,33;Irlanda;29,89;172,22
413;10661;HUNGO;7;3;17,55;Irlanda;3,69;21,24
439;10687;HUNGO;9;2;296,43;Irlanda;62,25;358,68
453;10701;HUNGO;6;3;220,31;Irlanda;46,27;266,58
464;10712;HUNGO;3;1;89,93;Irlanda;18,89;108,82
488;10736;HUNGO;9;2;44,1;Irlanda;9,26;53,36
649;10897;HUNGO;3;2;603,54;Irlanda;126,74;730,28
664;10912;HUNGO;2;2;580,91;Irlanda;121,99;702,9
737;10985;HUNGO;2;1;91,51;Irlanda;19,22;110,73
815;11063;HUNGO;3;2;81,73;Irlanda;17,16;98,89
