;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
27;10275;MAGAA;1;1;26,93;Italia;5,66;32,59
40;10288;REGGC;4;1;7,45;Italia;1,56;9,01
52;10300;MAGAA;2;2;17,68;Italia;3,71;21,39
156;10404;MAGAA;2;1;155,97;Italia;32,75;188,72
174;10422;FRANS;2;1;3,02;Italia;0,63;3,65
180;10428;REGGC;7;1;11,09;Italia;2,33;13,42
195;10443;REGGC;8;1;13,95;Italia;2,93;16,88
219;10467;MAGAA;8;2;4,93;Italia;1,04;5,97
314;10562;REGGC;1;1;22,95;Italia;4,82;27,77
338;10586;REGGC;9;1;0,48;Italia;0,1;0,58
387;10635;MAGAA;8;3;47,46;Italia;9,97;57,43
407;10655;REGGC;1;2;4,41;Italia;0,93;5,34
462;10710;FRANS;1;1;4,98;Italia;1,05;6,03
479;10727;REGGC;2;1;89,9;Italia;18,88;108,78
505;10753;FRANS;3;1;7,7;Italia;1,62;9,32
506;10754;MAGAA;6;3;2,38;Italia;0,5;2,88
536;10784;MAGAA;4;3;70,09;Italia;14,72;84,81
559;10807;FRANS;4;1;1,36;Italia;0,29;1,65
564;10812;REGGC;5;1;59,78;Italia;12,55;72,33
570;10818;MAGAA;7;3;65,48;Italia;13,75;79,23
660;10908;REGGC;4;2;32,96;Italia;6,92;39,88
691;10939;MAGAA;2;2;76,33;Italia;16,03;92,36
694;10942;REGGC;9;3;17,95;Italia;3,77;21,72
702;10950;MAGAA;1;2;2,5;Italia;0,52;3,02
762;11010;REGGC;2;2;28,71;Italia;6,03;34,74
778;11026;FRANS;4;1;47,09;Italia;9,89;56,98
812;11060;FRANS;2;2;10,98;Italia;2,31;13,29
814;11062;REGGC;4;2;29,93;Italia;6,29;36,22
