;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
11;10259;CENTC;4;3;3,25;Mexico;0,68;3,93
28;10276;TORTU;8;3;13,84;Mexico;2,91;16,75
45;10293;TORTU;1;3;21,18;Mexico;4,45;25,63
56;10304;TORTU;1;2;63,79;Mexico;13,4;77,19
60;10308;ANATR;7;3;1,61;Mexico;0,34;1,95
71;10319;TORTU;7;3;64,5;Mexico;13,54;78,04
74;10322;PERIC;7;3;0,4;Mexico;0,08;0,48
106;10354;PERIC;8;3;53,8;Mexico;11,3;65,1
117;10365;ANTON;3;2;22,0;Mexico;4,62;26,62
226;10474;PERIC;5;2;83,49;Mexico;17,53;101,02
254;10502;PERIC;2;1;69,32;Mexico;14,56;83,88
259;10507;ANTON;7;1;47,45;Mexico;9,96;57,41
270;10518;TORTU;4;2;218,15;Mexico;45,81;263,96
287;10535;ANTON;4;1;15,64;Mexico;3,28;18,92
325;10573;ANTON;7;3;84,84;Mexico;17,82;102,66
328;10576;TORTU;3;3;18,56;Mexico;3,9;22,46
377;10625;ANATR;3;1;43,9;Mexico;9,22;53,12
428;10676;TORTU;2;2;2,01;Mexico;0,42;2,43
429;10677;ANTON;1;3;4,03;Mexico;0,85;4,88
434;10682;ANTON;3;2;36,13;Mexico;7,59;43,72
511;10759;ANATR;3;3;11,99;Mexico;2,52;14,51
594;10842;TORTU;1;3;54,42;Mexico;11,43;65,85
608;10856;ANTON;3;2;58,43;Mexico;12,27;70,7
667;10915;TORTU;2;2;3,51;Mexico;0,74;4,25
678;10926;ANATR;4;3;39,92;Mexico;8,38;48,3
747;10995;PERIC;1;3;46,0;Mexico;9,66;55,66
821;11069;TORTU;1;2;15,67;Mexico;3,29;18,96
825;11073;PERIC;2;2;24,95;Mexico;5,24;30,19
