;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
80;10328;FURIB;4;3;87,03;Portugal;18,28;105,31
88;10336;PRINI;7;2;15,51;Portugal;3,26;18,77
104;10352;FURIB;3;3;1,3;Portugal;0,27;1,57
149;10397;PRINI;5;1;60,26;Portugal;12,65;72,91
185;10433;PRINI;3;3;73,83;Portugal;15,5;89,33
216;10464;FURIB;4;2;89,0;Portugal;18,69;107,69
229;10477;PRINI;5;2;13,02;Portugal;2,73;15,75
243;10491;FURIB;8;3;16,96;Portugal;3,56;20,52
303;10551;FURIB;4;3;72,95;Portugal;15,32;88,27
356;10604;FURIB;1;1;7,46;Portugal;1,57;9,03
416;10664;FURIB;1;3;1,27;Portugal;0,27;1,54
715;10963;FURIB;9;3;2,7;Portugal;0,57;3,27
759;11007;PRINI;8;2;202,24;Portugal;42,47;244,71
