;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
16;10264;FOLKO;6;3;3,67;Suecia;0,77;4,44
30;10278;BERGS;8;2;92,69;Suecia;19,46;112,15
32;10280;BERGS;2;1;8,98;Suecia;1,89;10,87
79;10327;FOLKO;2;1;63,36;Suecia;13,31;76,67
130;10378;FOLKO;5;3;5,44;Suecia;1,14;6,58
136;10384;BERGS;3;3;168,64;Suecia;35,41;204,05
186;10434;FOLKO;3;2;17,92;Suecia;3,76;21,68
196;10444;BERGS;3;3;3,5;Suecia;0,74;4,24
197;10445;BERGS;3;1;9,3;Suecia;1,95;11,25
212;10460;FOLKO;8;1;16,27;Suecia;3,42;19,69
276;10524;BERGS;1;2;244,79;Suecia;51,41;296,2
285;10533;FOLKO;8;1;188,04;Suecia;39,49;227,53
313;10561;FOLKO;2;2;242,21;Suecia;50,86;293,07
324;10572;BERGS;3;2;116,43;Suecia;24,45;140,88
378;10626;BERGS;1;2;138,69;Suecia;29,12;167,81
406;10654;BERGS;5;1;55,26;Suecia;11,6;66,86
424;10672;BERGS;9;2;95,75;Suecia;20,11;115,86
441;10689;BERGS;1;2;13,42;Suecia;2,82;16,24
455;10703;FOLKO;6;2;152,3;Suecia;31,98;184,28
485;10733;BERGS;1;3;110,11;Suecia;23,12;133,23
493;10741;BERGS;4;3;10,96;Suecia;2,3;13,26
514;10762;FOLKO;3;1;328,74;Suecia;69,04;397,78
526;10774;FOLKO;4;1;48,2;Suecia;10,12;58,32
530;10778;BERGS;3;1;6,79;Suecia;1,43;8,22
576;10824;FOLKO;8;1;1,23;Suecia;0,26;1,49
589;10837;BERGS;9;3;13,32;Suecia;2,8;16,12
609;10857;BERGS;8;2;188,85;Suecia;39,66;228,51
618;10866;BERGS;5;1;109,11;Suecia;22,91;132,02
627;10875;BERGS;4;2;32,37;Suecia;6,8;39,17
632;10880;FOLKO;7;1;88,01;Suecia;18,48;106,49
654;10902;FOLKO;1;1;44,15;Suecia;9,27;53,42
676;10924;BERGS;3;2;151,52;Suecia;31,82;183,34
707;10955;FOLKO;8;2;3,26;Suecia;0,68;3,94
729;10977;FOLKO;8;3;208,5;Suecia;43,78;252,28
732;10980;FOLKO;4;1;1,26;Suecia;0,26;1,52
745;10993;FOLKO;7;3;8,81;Suecia;1,85;10,66
753;11001;FOLKO;2;2;197,3;Suecia;41,43;238,73
802;11050;FOLKO;8;2;59,41;Suecia;12,48;71,89
