;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
6;10254;CHOPS;5;2;22,98;Suiza;4,83;27,81
7;10255;RICSU;9;3;148,33;Suiza;31,15;179,48
122;10370;CHOPS;6;2;1,17;Suiza;0,25;1,42
171;10419;RICSU;4;2;137,35;Suiza;28,84;166,19
271;10519;CHOPS;6;3;91,76;Suiza;19,27;111,03
289;10537;RICSU;1;1;78,85;Suiza;16,56;95,41
418;10666;RICSU;7;2;232,42;Suiza;48,81;281,23
483;10731;CHOPS;7;1;96,65;Suiza;20,3;116,95
498;10746;CHOPS;1;3;31,43;Suiza;6,6;38,03
503;10751;RICSU;3;3;130,79;Suiza;27,47;158,26
510;10758;RICSU;3;3;138,17;Suiza;29,02;167,19
683;10931;RICSU;4;2;13,6;Suiza;2,86;16,46
703;10951;RICSU;9;2;30,85;Suiza;6,48;37,33
718;10966;CHOPS;4;1;27,19;Suiza;5,71;32,9
781;11029;CHOPS;4;1;47,84;Suiza;10,05;57,89
785;11033;RICSU;7;3;84,74;Suiza;17,8;102,54
793;11041;CHOPS;3;2;48,22;Suiza;10,13;58,35
827;11075;RICSU;8;2;6,19;Suiza;1,3;7,49
