;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
9;10257;HILAA;4;3;81,91;Venezuela;17,2;99,11
20;10268;GROSR;8;3;66,29;Venezuela;13,92;80,21
35;10283;LILAS;3;3;84,81;Venezuela;17,81;102,62
48;10296;LILAS;6;1;0,12;Venezuela;0,03;0,15
82;10330;LILAS;3;1;12,75;Venezuela;2,68;15,43
109;10357;LILAS;1;3;34,88;Venezuela;7,32;42,2
133;10381;LILAS;3;3;7,99;Venezuela;1,68;9,67
147;10395;HILAA;6;1;184,41;Venezuela;38,73;223,14
157;10405;LINOD;1;1;34,82;Venezuela;7,31;42,13
213;10461;LILAS;1;3;148,61;Venezuela;31,21;179,82
228;10476;HILAA;8;3;4,41;Venezuela;0,93;5,34
237;10485;LINOD;4;2;64,45;Venezuela;13,53;77,98
238;10486;HILAA;1;2;30,53;Venezuela;6,41;36,94
242;10490;HILAA;7;2;210,19;Venezuela;44,14;254,33
250;10498;HILAA;8;2;29,75;Venezuela;6,25;36,0
251;10499;LILAS;4;2;102,02;Venezuela;21,42;123,44
295;10543;LILAS;8;2;48,17;Venezuela;10,12;58,29
304;10552;HILAA;2;1;83,22;Venezuela;17,48;100,7
353;10601;HILAA;7;1;58,3;Venezuela;12,24;70,54
365;10613;HILAA;4;2;8,11;Venezuela;1,7;9,81
390;10638;LINOD;3;1;158,44;Venezuela;33,27;191,71
393;10641;HILAA;4;2;179,61;Venezuela;37,72;217,33
449;10697;LINOD;3;1;45,52;Venezuela;9,56;55,08
457;10705;HILAA;9;2;3,52;Venezuela;0,74;4,26
481;10729;LINOD;8;3;141,06;Venezuela;29,62;170,68
532;10780;LILAS;2;1;42,13;Venezuela;8,85;50,98
537;10785;GROSR;1;3;1,51;Venezuela;0,32;1,83
548;10796;HILAA;3;1;26,52;Venezuela;5,57;32,09
563;10811;LINOD;8;1;31,22;Venezuela;6,56;37,78
575;10823;LILAS;5;2;163,97;Venezuela;34,43;198,4
590;10838;LINOD;3;3;59,28;Venezuela;12,45;71,73
592;10840;LINOD;4;2;2,71;Venezuela;0,57;3,28
615;10863;HILAA;4;2;30,26;Venezuela;6,35;36,61
651;10899;LILAS;5;3;1,21;Venezuela;0,25;1,46
653;10901;HILAA;4;1;62,09;Venezuela;13,04;75,13
671;10919;LINOD;2;2;19,8;Venezuela;4,16;23,96
706;10954;LINOD;5;1;27,91;Venezuela;5,86;33,77
709;10957;HILAA;8;3;105,36;Venezuela;22,13;127,49
712;10960;HILAA;3;1;2,08;Venezuela;0,44;2,52
728;10976;HILAA;1;1;37,97;Venezuela;7,97;45,94
749;10997;LILAS;8;2;73,91;Venezuela;15,52;89,43
766;11014;LINOD;2;3;23,6;Venezuela;4,96;28,56
791;11039;LINOD;1;2;65,0;Venezuela;13,65;78,65
807;11055;HILAA;7;2;120,92;Venezuela;25,39;146,31
817;11065;LILAS;8;1;12,91;Venezuela;2,71;15,62
823;11071;LILAS;1;1;0,93;Venezuela;0,2;1,13
